BREED_NAME	Description	Group	Size	URL	img
Briard		Herding Group		http://www.akc.org/dog-breeds/briard	
Brittany	"Bright, upbeat, fun-loving at home; a tireless, enthusiastic worker afield."	Sporting Group	m	http://www.akc.org/dog-breeds/brittany	http://cdn.akc.org/akcdoglovers/brittanyThumb.jpg
Broholmer		Foundation Stock Service		http://www.akc.org/dog-breeds/broholmer	
Brussels Griffon	"Alert, curious, and loyal."	Toy Group	s	http://www.akc.org/dog-breeds/brussels-griffon	http://cdn.akc.org/akcdoglovers/brusselsGriffonThumb.jpg
Bull Terrier		Terrier Group		http://www.akc.org/dog-breeds/bull-terrier	
Bulldog	"Calm, courageous, and friendly; dignified but amusing."	Non-Sporting Group	m	http://www.akc.org/dog-breeds/bulldog	http://cdn.akc.org/akcdoglovers/bulldogThumb.jpg
Bullmastiff	"Brave, affectionate, and loyal, the Bullmastiff will always have your back."	Working Group	l	http://www.akc.org/dog-breeds/bullmastiff	http://cdn.akc.org/akcdoglovers/bullmastiffThumb.jpg
Cairn Terrier		Terrier Group		http://www.akc.org/dog-breeds/cairn-terrier	
Canaan Dog		Herding Group		http://www.akc.org/dog-breeds/canaan-dog	
Cane Corso	"Smart, trainable, and noble of bearing; assertive and confident, Corsi are peerless protectors."	Working Group	l	http://www.akc.org/dog-breeds/cane-corso	http://cdn.akc.org/akcdoglovers/CaneCorso_163X140.jpg
Cardigan Welsh Corgi		Herding Group		http://www.akc.org/dog-breeds/cardigan-welsh-corgi	
Catahoula Leopard Dog		Foundation Stock Service		http://www.akc.org/dog-breeds/catahoula-leopard-dog	
Caucasian Shepherd Dog		Foundation Stock Service		http://www.akc.org/dog-breeds/caucasian-shepherd-dog	
Cavalier King Charles Spaniel	"Affectionate, graceful, and gentle."	Toy Group	s	http://www.akc.org/dog-breeds/cavalier-king-charles-spaniel	http://cdn.akc.org/akcdoglovers/CavalierKingCharlesThumb.jpg
Central Asian Shepherd Dog		Foundation Stock Service		http://www.akc.org/dog-breeds/central-asian-shepherd-dog	
Cesky Terrier		Terrier Group		http://www.akc.org/dog-breeds/cesky-terrier	
Chesapeake Bay Retriever		Sporting Group		http://www.akc.org/dog-breeds/chesapeake-bay-retriever	
Chihuahua	"Graceful, charming, and sassy."	Toy Group	s	http://www.akc.org/dog-breeds/chihuahua	http://cdn.akc.org/akcdoglovers/chihuahuaSmoothThumb.jpg
Chinese Crested	"Lively, alert, and affectionate."	Toy Group	s	http://www.akc.org/dog-breeds/chinese-crested	http://cdn.akc.org/akcdoglovers/chineseCrestedThumb.jpg
Chinese Shar-Pei		Non-Sporting Group		http://www.akc.org/dog-breeds/chinese-shar-pei	
Chinook		Working Group		http://www.akc.org/dog-breeds/chinook	
Chow Chow		Non-Sporting Group		http://www.akc.org/dog-breeds/chow-chow	
Cirneco dell'Etna		Hound Group		http://www.akc.org/dog-breeds/cirneco-dell’etna	
Clumber Spaniel		Sporting Group		http://www.akc.org/dog-breeds/clumber-spaniel	
Cocker Spaniel	"Happy, smart, gentle."	Sporting Group	m	http://www.akc.org/dog-breeds/cocker-spaniel	http://cdn.akc.org/akcdoglovers/cockerThumb.jpg
Collie		Herding Group		http://www.akc.org/dog-breeds/collie	
Coton de Tulear		Non-Sporting Group		http://www.akc.org/dog-breeds/coton-de-tulear	
Curly-Coated Retriever		Sporting Group		http://www.akc.org/dog-breeds/curly-coated-retriever	
Czechoslovakian Vlcak		Foundation Stock Service		http://www.akc.org/dog-breeds/czechoslovakian-vlcak	
Dachshund	Go look up the word “spunky.” We’ll wait. Did you see a photo of a Dachsie? We thought so.	Hound Group	s	http://www.akc.org/dog-breeds/dachshund	http://cdn.akc.org/akcdoglovers/Dachshund_thumb.jpg
Dalmatian		Non-Sporting Group		http://www.akc.org/dog-breeds/dalmatian	
Dandie Dinmont Terrier		Terrier Group		http://www.akc.org/dog-breeds/dandie-dinmont-terrier	
Danish-Swedish Farmdog		Foundation Stock Service		http://www.akc.org/dog-breeds/danish-swedish-farmdog	
Deutscher Wachtelhund		Foundation Stock Service		http://www.akc.org/dog-breeds/deutscher-wachtelhund	
Doberman Pinscher		Working Group		http://www.akc.org/dog-breeds/doberman-pinscher	
Dogo Argentino		Foundation Stock Service		http://www.akc.org/dog-breeds/dogo-argentino	
Dogue de Bordeaux	"Loyal, affectionate, and protective; courageous but not aggressive."	Working Group	l	http://www.akc.org/dog-breeds/dogue-de-bordeaux	http://cdn.akc.org/akcdoglovers/DogueDeBordeauxThumb.jpg
Drentsche Patrijshond		Foundation Stock Service		http://www.akc.org/dog-breeds/drentsche-patrijshond	
Drever		Foundation Stock Service		http://www.akc.org/dog-breeds/drever	
Dutch Shepherd		Foundation Stock Service		http://www.akc.org/dog-breeds/dutch-shepherd	
English Cocker Spaniel		Sporting Group		http://www.akc.org/dog-breeds/english-cocker-spaniel	
English Foxhound		Hound Group		http://www.akc.org/dog-breeds/english-foxhound	
English Setter		Sporting Group		http://www.akc.org/dog-breeds/english-setter	
English Springer Spaniel	"Friendly, playful, obedient at home; hardworking and steady in the field."	Sporting Group	m	http://www.akc.org/dog-breeds/english-springer-spaniel	http://cdn.akc.org/akcdoglovers/EngSpringerSpanThumb.jpg
English Toy Spaniel	"A true spaniel—affectionate, alert, and merry."	Toy Group	s	http://www.akc.org/dog-breeds/english-toy-spaniel	http://cdn.akc.org/akcdoglovers/EnglishToySpanThumb.jpg
Entlebucher Mountain Dog		Herding Group		http://www.akc.org/dog-breeds/entlebucher-mountain-dog	
Estrela Mountain Dog		Foundation Stock Service		http://www.akc.org/dog-breeds/estrela-mountain-dog	
Eurasier		Foundation Stock Service		http://www.akc.org/dog-breeds/eurasier	
Field Spaniel		Sporting Group		http://www.akc.org/dog-breeds/field-spaniel	
Finnish Lapphund		Herding Group		http://www.akc.org/dog-breeds/finnish-lapphund	
Finnish Spitz		Non-Sporting Group		http://www.akc.org/dog-breeds/finnish-spitz	
Flat-Coated Retriever		Sporting Group		http://www.akc.org/dog-breeds/flat-coated-retriever	
French Bulldog		Non-Sporting Group		http://www.akc.org/dog-breeds/french-bulldog	
French Spaniel		Foundation Stock Service		http://www.akc.org/dog-breeds/french-spaniel	
German Longhaired Pointer		Foundation Stock Service		http://www.akc.org/dog-breeds/german-longhaired-pointer	
German Pinscher		Working Group		http://www.akc.org/dog-breeds/german-pinscher	
German Shepherd Dog		Herding Group		http://www.akc.org/dog-breeds/german-shepherd-dog	
German Shorthaired Pointer		Sporting Group		http://www.akc.org/dog-breeds/german-shorthaired-pointer	
German Spitz		Foundation Stock Service		http://www.akc.org/dog-breeds/german-spitz	
German Wirehaired Pointer		Sporting Group		http://www.akc.org/dog-breeds/german-wirehaired-pointer	
Giant Schnauzer		Working Group		http://www.akc.org/dog-breeds/giant-schnauzer	
Glen of Imaal Terrier		Terrier Group		http://www.akc.org/dog-breeds/glen-of-imaal-terrier	
Golden Retriever		Sporting Group		http://www.akc.org/dog-breeds/golden-retriever	
Gordon Setter		Sporting Group		http://www.akc.org/dog-breeds/gordon-setter	
Grand Basset Griffon Vendeen		Foundation Stock Service		http://www.akc.org/dog-breeds/grand-basset-griffon-vendeen	
Great Dane	"Friendly, patient, & dependable."	Working Group	l	http://www.akc.org/dog-breeds/great-dane	http://cdn.akc.org/akcdoglovers/greatDaneThumb.jpg
Great Pyrenees	"Calm, patient, smart; strong-willed yet affectionate."	Working Group	l	http://www.akc.org/dog-breeds/great-pyrenees	http://cdn.akc.org/akcdoglovers/greatPyreneesThumb.jpg
Greater Swiss Mountain Dog		Working Group		http://www.akc.org/dog-breeds/greater-swiss-mountain-dog	
Greyhound		Hound Group		http://www.akc.org/dog-breeds/greyhound	
Hamiltonstovare		Foundation Stock Service		http://www.akc.org/dog-breeds/hamiltonstovare	
Harrier		Hound Group		http://www.akc.org/dog-breeds/harrier	
Havanese	"Outgoing, funny, & intelligent."	Toy Group	s	http://www.akc.org/dog-breeds/havanese	http://cdn.akc.org/akcdoglovers/HavaneseThumb.jpg
Hokkaido		Foundation Stock Service		http://www.akc.org/dog-breeds/hokkaido	
Hovawart		Foundation Stock Service		http://www.akc.org/dog-breeds/hovawart	
Ibizan Hound		Hound Group		http://www.akc.org/dog-breeds/ibizan-hound	
Icelandic Sheepdog		Herding Group		http://www.akc.org/dog-breeds/icelandic-sheepdog	
Irish Red and White Setter		Sporting Group		http://www.akc.org/dog-breeds/irish-red-and-white-setter	
Irish Setter		Sporting Group		http://www.akc.org/dog-breeds/irish-setter	
Irish Terrier		Terrier Group		http://www.akc.org/dog-breeds/irish-terrier	
Irish Water Spaniel		Sporting Group		http://www.akc.org/dog-breeds/irish-water-spaniel	
Irish Wolfhound	"Calm, dignified, kindly; courageous but not aggressive"	Hound Group	l	http://www.akc.org/dog-breeds/irish-wolfhound	http://cdn.akc.org/IrishWolfhoundThumb.jpg
Italian Greyhound	"Sensitive and alert, playful, highly affectionate"	Toy Group	s	http://www.akc.org/dog-breeds/italian-greyhound	http://cdn.akc.org/akcdoglovers/italianGreyhoundThumb.jpg
Jagdterrier		Foundation Stock Service		http://www.akc.org/dog-breeds/jagdterrier	
Japanese Chin	"A true aristocrat: charming and loving with those they favor, nobly reserved with strangers"	Toy Group	s	http://www.akc.org/dog-breeds/japanese-chin	http://cdn.akc.org/akcdoglovers/japaneseChinThumb.jpg
Jindo		Foundation Stock Service		http://www.akc.org/dog-breeds/jindo	
Kai Ken		Foundation Stock Service		http://www.akc.org/dog-breeds/kai-ken	
Karelian Bear Dog		Foundation Stock Service		http://www.akc.org/dog-breeds/karelian-bear-dog	
Keeshond		Non-Sporting Group		http://www.akc.org/dog-breeds/keeshond	
Kerry Blue Terrier		Terrier Group		http://www.akc.org/dog-breeds/kerry-blue-terrier	
Kishu Ken		Foundation Stock Service		http://www.akc.org/dog-breeds/kishu-ken	
Komondor		Working Group		http://www.akc.org/dog-breeds/komondor	
Kromfohrlander		Foundation Stock Service		http://www.akc.org/dog-breeds/kromfohrlander	
Kuvasz		Working Group		http://www.akc.org/dog-breeds/kuvasz	
Labrador Retriever		Sporting Group		http://www.akc.org/dog-breeds/labrador-retriever	
Lagotto Romagnolo		Sporting Group		http://www.akc.org/dog-breeds/lagotto-romagnolo	
Lakeland Terrier		Terrier Group		http://www.akc.org/dog-breeds/lakeland-terrier	
Lancashire Heeler		Foundation Stock Service		http://www.akc.org/dog-breeds/lancashire-heeler	
Leonberger	"Bright, patient, loving, and family oriented"	Working Group	l	http://www.akc.org/dog-breeds/leonberger	http://cdn.akc.org/akcdoglovers/Leo_thumb.jpg
Lhasa Apso		Non-Sporting Group		http://www.akc.org/dog-breeds/lhasa-apso	
Lowchen		Non-Sporting Group		http://www.akc.org/dog-breeds/lowchen	
Maltese	"Gentle, playful, affectionate; fearless in a charming toy-dog way."	Toy Group	s	http://www.akc.org/dog-breeds/maltese	http://cdn.akc.org/akcdoglovers/malteseThumb.jpg
Manchester Terrier	"Spirited, bright, keenly observant; dead loyal, in an independent terrier way."	Terrier Group	s	http://www.akc.org/dog-breeds/manchester-terrier	http://cdn.akc.org/akcdoglovers/manchesterTerThumb.jpg
Mastiff	"Courageous and dignified, but good-natured and docile."	Working Group	l	http://www.akc.org/dog-breeds/mastiff	http://cdn.akc.org/akcdoglovers/mastiffThumb.jpg
Miniature American Shepherd		Herding Group		http://www.akc.org/dog-breeds/miniature-american-shepherd	
Miniature Bull Terrier		Terrier Group		http://www.akc.org/dog-breeds/miniature-bull-terrier	
Miniature Pinscher	"Proud, fearless, and fun-loving, Min Pins are a true “personality breed."""	Toy Group	s	http://www.akc.org/dog-breeds/miniature-pinscher	http://cdn.akc.org/akcdoglovers/minpinThumb.jpg
Miniature Schnauzer		Terrier Group		http://www.akc.org/dog-breeds/miniature-schnauzer	
Mudi		Foundation Stock Service		http://www.akc.org/dog-breeds/mudi	
Neapolitan Mastiff	"Watchful and dignified; sweet, steady, and loyal with loved ones, calm but wary with strangers."	Working Group	l	http://www.akc.org/dog-breeds/neapolitan-mastiff	http://cdn.akc.org/akcdoglovers/NeoMastiffThumb.jpg
Nederlandse Kooikerhondje		Foundation Stock Service		http://www.akc.org/dog-breeds/nederlandse-kooikerhondje	
Newfoundland	"Sweet, patient, devoted; Newfs are famously good companions"	Working Group	l	http://www.akc.org/dog-breeds/newfoundland	http://cdn.akc.org/akcdoglovers/newfoundlandThumb.jpg
Norfolk Terrier	"Alert, fearless, fun-loving, and more sociable than the usual terrier."	Terrier Group	s	http://www.akc.org/dog-breeds/norfolk-terrier	http://cdn.akc.org/akcdoglovers/norfolkThumb.jpg
Norrbottenspets		Foundation Stock Service		http://www.akc.org/dog-breeds/norrbottenspets	
Norwegian Buhund		Herding Group		http://www.akc.org/dog-breeds/norwegian-buhund	
Norwegian Elkhound		Hound Group		http://www.akc.org/dog-breeds/norwegian-elkhound	
Norwegian Lundehund		Non-Sporting Group		http://www.akc.org/dog-breeds/norwegian-lundehund	
Norwich Terrier	"Alert, curious, affectionate, gregarious, loyal "	Terrier Group	s	http://www.akc.org/dog-breeds/norwich-terrier	http://cdn.akc.org/akcdoglovers/Norwich_Terrier_163X140.jpg
Nova Scotia Duck Tolling Retriever		Sporting Group		http://www.akc.org/dog-breeds/nova-scotia-duck-tolling-retriever	
Old English Sheepdog		Herding Group		http://www.akc.org/dog-breeds/old-english-sheepdog	
Otterhound		Hound Group		http://www.akc.org/dog-breeds/otterhound	
Papillon	"Happy, alert, friendly."	Toy Group	s	http://www.akc.org/dog-breeds/papillon	http://cdn.akc.org/akcdoglovers/papillonThumb.jpg
Parson Russell Terrier		Terrier Group		http://www.akc.org/dog-breeds/parson-russell-terrier	
Pekingese	"Affectionate, loyal, regal in manner."	Toy Group	s	http://www.akc.org/dog-breeds/pekingese	http://cdn.akc.org/akcdoglovers/pekingeseThumb.jpg
Pembroke Welsh Corgi	"Smart and alert, affectionate but not pushy, bold but kindly."	Herding Group	m	http://www.akc.org/dog-breeds/pembroke-welsh-corgi	http://cdn.akc.org/pembrokewelshcorgiThumb-1.jpg
Perro de Presa Canario		Foundation Stock Service		http://www.akc.org/dog-breeds/perro-de-presa-canario	
Peruvian Inca Orchid		Foundation Stock Service		http://www.akc.org/dog-breeds/peruvian-inca-orchid	
Petit Basset Griffon Vendeen		Hound Group		http://www.akc.org/dog-breeds/petit-basset-griffon-vendeen	
Pharaoh Hound		Hound Group		http://www.akc.org/dog-breeds/pharaoh-hound	
Plott		Hound Group		http://www.akc.org/dog-breeds/plott	
Pointer		Sporting Group		http://www.akc.org/dog-breeds/pointer	
Polish Lowland Sheepdog		Herding Group		http://www.akc.org/dog-breeds/polish-lowland-sheepdog	
Pomeranian	"Lively, bold, and inquisitive—a prototypical ""personality breed""."	Toy Group	s	http://www.akc.org/dog-breeds/pomeranian	http://cdn.akc.org/akcdoglovers/pomeranianThumb.jpg
Poodle	"Proud, active and very smart.."	Non-Sporting Group	s	http://www.akc.org/dog-breeds/poodle	http://cdn.akc.org/akcdoglovers/ToyPoodleThumb.jpg
Portuguese Podengo		Foundation Stock Service		http://www.akc.org/dog-breeds/portuguese-podengo	
Portuguese Podengo Pequeno		Hound Group		http://www.akc.org/dog-breeds/portuguese-podengo-pequeno	
Portuguese Pointer		Foundation Stock Service		http://www.akc.org/dog-breeds/portuguese-pointer	
Portuguese Sheepdog		Foundation Stock Service		http://www.akc.org/dog-breeds/portuguese-sheepdog	
Portuguese Water Dog		Working Group		http://www.akc.org/dog-breeds/portuguese-water-dog	
Pudelpointer		Foundation Stock Service		http://www.akc.org/dog-breeds/pudelpointer	
Pug	"Even-tempered, charming, mischievous and loving."	Toy Group	s	http://www.akc.org/dog-breeds/pug	http://cdn.akc.org/akcdoglovers/pugThumb.jpg
Puli		Herding Group		http://www.akc.org/dog-breeds/puli	
Pumi		Herding Group		http://www.akc.org/dog-breeds/pumi	
Pyrenean Mastiff		Foundation Stock Service		http://www.akc.org/dog-breeds/pyrenean-mastiff	
Pyrenean Shepherd		Herding Group		http://www.akc.org/dog-breeds/pyrenean-shepherd	
Rafeiro do Alentejo		Foundation Stock Service		http://www.akc.org/dog-breeds/rafeiro-do-alentejo	
Rat Terrier		Terrier Group		http://www.akc.org/dog-breeds/rat-terrier	
Redbone Coonhound		Hound Group		http://www.akc.org/dog-breeds/redbone-coonhound	
Rhodesian Ridgeback		Hound Group		http://www.akc.org/dog-breeds/rhodesian-ridgeback	
Rottweiler		Working Group		http://www.akc.org/dog-breeds/rottweiler	
Russell Terrier		Terrier Group		http://www.akc.org/dog-breeds/russell-terrier	
Russian Toy		Foundation Stock Service		http://www.akc.org/dog-breeds/russian-toy	
Russian Tsvetnaya Bolonka		Foundation Stock Service		http://www.akc.org/dog-breeds/russian-tsvetnaya-bolonka	
Saluki		Hound Group		http://www.akc.org/dog-breeds/saluki	
Samoyed		Working Group		http://www.akc.org/dog-breeds/samoyed	
Schapendoes		Foundation Stock Service		http://www.akc.org/dog-breeds/schapendoes	
Schipperke	"Alert, curious, confident; intense, but with a dash of mischief and impudence"	Non-Sporting Group	s	http://www.akc.org/dog-breeds/schipperke	http://cdn.akc.org/akcdoglovers/schipperkeThumb.jpg
Scottish Deerhound	"Dignified, gentle, polite; quietly intelligent and perceptive."	Hound Group	l	http://www.akc.org/dog-breeds/scottish-deerhound	http://cdn.akc.org/akcdoglovers/ScottishDeerhound_163X140.jpg
Scottish Terrier		Terrier Group		http://www.akc.org/dog-breeds/scottish-terrier	
Sealyham Terrier		Terrier Group		http://www.akc.org/dog-breeds/sealyham-terrier	
Shetland Sheepdog	"Bright, playful, and energetic"	Herding Group	m	http://www.akc.org/dog-breeds/shetland-sheepdog	http://cdn.akc.org/akcdoglovers/ShetlandSheepdog_thumb.jpg
Shiba Inu		Non-Sporting Group		http://www.akc.org/dog-breeds/shiba-inu	
Shih Tzu	"Outgoing, affectionate, playful and charming"	Toy Group	s	http://www.akc.org/dog-breeds/shih-tzu	http://cdn.akc.org/akcdoglovers/shihTzuThumb.jpg
Shikoku		Foundation Stock Service		http://www.akc.org/dog-breeds/shikoku	
Siberian Husky		Working Group		http://www.akc.org/dog-breeds/siberian-husky	
Silky Terrier	"Friendly, vivacious, cheeky; in all ways a true terrier."	Toy Group	s	http://www.akc.org/dog-breeds/silky-terrier	http://cdn.akc.org/akcdoglovers/silkyTerThumb.jpg
Skye Terrier		Terrier Group		http://www.akc.org/dog-breeds/skye-terrier	
Sloughi		Hound Group		http://www.akc.org/dog-breeds/sloughi	
Slovensky Cuvac		Foundation Stock Service		http://www.akc.org/dog-breeds/slovensky-cuvac	
Slovensky Kopov		Foundation Stock Service		http://www.akc.org/dog-breeds/slovensky-kopov	
Small Munsterlander Pointer		Foundation Stock Service		http://www.akc.org/dog-breeds/small-munsterlander-pointer	
Smooth Fox Terrier		Terrier Group		http://www.akc.org/dog-breeds/smooth-fox-terrier	
Soft Coated Wheaten Terrier		Terrier Group		http://www.akc.org/dog-breeds/soft-coated-wheaten-terrier	
Spanish Mastiff		Foundation Stock Service		http://www.akc.org/dog-breeds/spanish-mastiff	
Spanish Water Dog		Herding Group		http://www.akc.org/dog-breeds/spanish-water-dog	
Spinone Italiano		Sporting Group		http://www.akc.org/dog-breeds/spinone-italiano	
St. Bernard		Working Group		http://www.akc.org/dog-breeds/st.-bernard	
Stabyhoun		Foundation Stock Service		http://www.akc.org/dog-breeds/stabyhoun	
Staffordshire Bull Terrier		Terrier Group		http://www.akc.org/dog-breeds/staffordshire-bull-terrier	
Standard Schnauzer		Working Group		http://www.akc.org/dog-breeds/standard-schnauzer	
Sussex Spaniel		Sporting Group		http://www.akc.org/dog-breeds/sussex-spaniel	
Swedish Lapphund		Foundation Stock Service		http://www.akc.org/dog-breeds/swedish-lapphund	
Swedish Vallhund		Herding Group		http://www.akc.org/dog-breeds/swedish-vallhund	
Teddy Roosevelt Terrier		Foundation Stock Service		http://www.akc.org/dog-breeds/teddy-roosevelt-terrier	
Thai Ridgeback		Foundation Stock Service		http://www.akc.org/dog-breeds/thai-ridgeback	
Tibetan Mastiff	"Mellow and calm around the house; devoted to family, reserved and territorial with strangers."	Working Group	l	http://www.akc.org/dog-breeds/tibetan-mastiff	http://cdn.akc.org/akcdoglovers/TibMastiffThumb.jpg
Tibetan Spaniel		Non-Sporting Group		http://www.akc.org/dog-breeds/tibetan-spaniel	
Tibetan Terrier		Non-Sporting Group		http://www.akc.org/dog-breeds/tibetan-terrier	
Tornjak		Foundation Stock Service		http://www.akc.org/dog-breeds/tornjak	
Tosa		Foundation Stock Service		http://www.akc.org/dog-breeds/tosa	
Toy Fox Terrier	"Toy Fox Terriers are outgoing and friendly, yet fiercely loyal to their families."	Toy Group	s	http://www.akc.org/dog-breeds/toy-fox-terrier	http://cdn.akc.org/akcdoglovers/toyFoxTerThumb.jpg
Transylvanian Hound		Foundation Stock Service		http://www.akc.org/dog-breeds/transylvanian-hound	
Treeing Tennessee Brindle		Foundation Stock Service		http://www.akc.org/dog-breeds/treeing-tennessee-brindle	
Treeing Walker Coonhound		Hound Group		http://www.akc.org/dog-breeds/treeing-walker-coonhound	
Vizsla		Sporting Group		http://www.akc.org/dog-breeds/vizsla	
Weimaraner		Sporting Group		http://www.akc.org/dog-breeds/weimaraner	
Welsh Springer Spaniel		Sporting Group		http://www.akc.org/dog-breeds/welsh-springer-spaniel	
Welsh Terrier		Terrier Group		http://www.akc.org/dog-breeds/welsh-terrier	
West Highland White Terrier		Terrier Group		http://www.akc.org/dog-breeds/west-highland-white-terrier	
Whippet	"Calm, affectionate, and playful."	Hound Group	m	http://www.akc.org/dog-breeds/whippet	http://cdn.akc.org/akcdoglovers/whippet_163X140.jpg
Wire Fox Terrier		Terrier Group		http://www.akc.org/dog-breeds/wire-fox-terrier	
Wirehaired Pointing Griffon		Sporting Group		http://www.akc.org/dog-breeds/wirehaired-pointing-griffon	
Wirehaired Vizsla		Sporting Group		http://www.akc.org/dog-breeds/wirehaired-vizsla	
Working Kelpie		Foundation Stock Service		http://www.akc.org/dog-breeds/working-kelpie	
Xoloitzcuintli		Non-Sporting Group		http://www.akc.org/dog-breeds/xoloitzcuintli	
Yorkshire Terrier	"Sprightly, tomboyish, and affectionate"	Toy Group	s	http://www.akc.org/dog-breeds/yorkshire-terrier	http://cdn.akc.org/akcdoglovers/YorkieThumb.jpg
